Lexema                                   Tipo                                    
--------------------                     --------------------                    
type                                     palavra reservada                       
ficha                                    Identificador                           
=                                        operador de atribuição                  
record                                   Identificador                           
nome                                     Identificador                           
:                                        dois pontos                             
string                                   palavra reservada                       
[                                        Colchete Esquerdo                       
40                                       Number                                  
]                                        Colchete Direito                        
;                                        ponto e vírgula                         
idade                                    Identificador                           
:                                        dois pontos                             
integer                                  palavra reservada                       
;                                        ponto e vírgula                         
peso                                     Identificador                           
:                                        dois pontos                             
real                                     palavra reservada                       
;                                        ponto e vírgula                         
end                                      palavra reservada                       
;                                        ponto e vírgula                         
var                                      palavra reservada                       
ficha_arq                                Identificador                           
:                                        dois pontos                             
file                                     Identificador                           
of                                       palavra reservada                       
ficha                                    Identificador                           
;                                        ponto e vírgula                         
fichario                                 Identificador                           
:                                        dois pontos                             
array                                    palavra reservada                       
[                                        Colchete Esquerdo                       
1                                        Number                                  
.                                        ponto final                             
.                                        ponto final                             
3                                        Number                                  
]                                        Colchete Direito                        
of                                       palavra reservada                       
ficha                                    Identificador                           
;                                        ponto e vírgula                         
i                                        Identificador                           
:                                        dois pontos                             
integer                                  palavra reservada                       
;                                        ponto e vírgula                         
procedure                                palavra reservada                       
imprime_ficha                            Identificador                           
(                                        símbolo de abertura de parênteses       
pos                                      Identificador                           
:                                        dois pontos                             
integer                                  palavra reservada                       
)                                        símbolo de fechamento de parênteses     
;                                        ponto e vírgula                         
begin                                    palavra reservada                       
writeln                                  palavra reservada                       
(                                        símbolo de abertura de parênteses       
'Ficha '                                 Literal                                 
,                                        vírgula                                 
pos                                      Identificador                           
)                                        símbolo de fechamento de parênteses     
;                                        ponto e vírgula                         
writeln                                  palavra reservada                       
(                                        símbolo de abertura de parênteses       
'Nome: '                                 Literal                                 
,                                        vírgula                                 
fichario                                 Identificador                           
[                                        Colchete Esquerdo                       
pos                                      Identificador                           
]                                        Colchete Direito                        
.                                        ponto final                             
nome                                     Identificador                           
)                                        símbolo de fechamento de parênteses     
;                                        ponto e vírgula                         
writeln                                  palavra reservada                       
(                                        símbolo de abertura de parênteses       
'Idade: '                                Literal                                 
,                                        vírgula                                 
fichario                                 Identificador                           
[                                        Colchete Esquerdo                       
pos                                      Identificador                           
]                                        Colchete Direito                        
.                                        ponto final                             
idade                                    Identificador                           
)                                        símbolo de fechamento de parênteses     
;                                        ponto e vírgula                         
writeln                                  palavra reservada                       
(                                        símbolo de abertura de parênteses       
'Peso: '                                 Literal                                 
,                                        vírgula                                 
fichario                                 Identificador                           
[                                        Colchete Esquerdo                       
pos                                      Identificador                           
]                                        Colchete Direito                        
.                                        ponto final                             
peso                                     Identificador                           
)                                        símbolo de fechamento de parênteses     
;                                        ponto e vírgula                         
writeln                                  palavra reservada                       
;                                        ponto e vírgula                         
end                                      palavra reservada                       
;                                        ponto e vírgula                         
procedure                                palavra reservada                       
le_e_imprime_ficha                       Identificador                           
(                                        símbolo de abertura de parênteses       
pos                                      Identificador                           
:                                        dois pontos                             
integer                                  palavra reservada                       
)                                        símbolo de fechamento de parênteses     
;                                        ponto e vírgula                         
begin                                    palavra reservada                       
assign                                   palavra reservada                       
(                                        símbolo de abertura de parênteses       
ficha_arq                                Identificador                           
,                                        vírgula                                 
'ficha_2.dat'                            Literal                                 
)                                        símbolo de fechamento de parênteses     
;                                        ponto e vírgula                         
reset                                    palavra reservada                       
(                                        símbolo de abertura de parênteses       
ficha_arq                                Identificador                           
)                                        símbolo de fechamento de parênteses     
;                                        ponto e vírgula                         
seek                                     palavra reservada                       
(                                        símbolo de abertura de parênteses       
ficha_arq                                Identificador                           
,                                        vírgula                                 
pos                                      Identificador                           
-                                        operador aritmético                     
1                                        Number                                  
)                                        símbolo de fechamento de parênteses     
;                                        ponto e vírgula                         
close                                    palavra reservada                       
(                                        símbolo de abertura de parênteses       
ficha_arq                                Identificador                           
)                                        símbolo de fechamento de parênteses     
;                                        ponto e vírgula                         
imprime_ficha                            Identificador                           
(                                        símbolo de abertura de parênteses       
pos                                      Identificador                           
)                                        símbolo de fechamento de parênteses     
;                                        ponto e vírgula                         
end                                      palavra reservada                       
;                                        ponto e vírgula                         
begin                                    palavra reservada                       
le_e_imprime_ficha                       Identificador                           
(                                        símbolo de abertura de parênteses       
2                                        Number                                  
)                                        símbolo de fechamento de parênteses     
;                                        ponto e vírgula                         
end                                      palavra reservada                       
.                                        ponto final                             
